project_name,author,github_url,github_stars,github_forks,tashan_score,practicality_score,sustainability_score,popularity_score,tools_available_tashan,lobehub_url,lobehub_description,lobehub_rating,tools_available,project_type,deployment_methods,api_requirements,use_cases,hidden_gem_score,recommendation_type
Strapi MCP 服务器,bschauer,https://github.com/misterboe/strapi-mcp-server,37,13,71.34,92.5,22,57.18,5,https://lobehub.com/mcp/bschauer-strapi-mcp-server,一个用于与 Strapi CMS 交互的 Model Context Protocol（MCP）服务器。通过标准化接口，支持内容类型和 REST API 操作，使 AI 助手能够与您的 Strapi 实例进行交互。配置需要在 ~/.mcp/strapi-mcp-server.config.json 中提供一个 JSON 配置文件，指定 API URL、JWT 令牌以及可选的 Strapi 版本。,优质,10,"[""AI 助手访问和管理 Strapi CMS 内容"", ""自动化内容创建、更新和删除操作"", ""从外部 URL 上传和处理图像"", ""动态查询和过滤文章、产品等结构化内容"", ""多语言内容管理（v5 支持内置 i18n）"", ""开发调试和测试环境中的快速内容操作""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","{""required_keys"": [""JWT Token from Strapi Admin""], ""dependencies"": {""jwt"": ""用于身份验证"", ""zod"": ""用于运行时类型验证"", ""express"": ""提供 HTTP 服务"", ""axios"": ""用于与 Strapi API 通信""}}","[""AI 助手访问和管理 Strapi CMS 内容"", ""自动化内容创建、更新和删除操作"", ""从外部 URL 上传和处理图像"", ""动态查询和过滤文章、产品等结构化内容"", ""多语言内容管理（v5 支持内置 i18n）"", ""开发调试和测试环境中的快速内容操作""]",57.8,C级-特定场景推荐
MCP iOS 模拟器截图,yorifuji,https://github.com/yorifuji/mcp-ios-simulator-screenshot,0,1,76.14,92.5,46,57.18,1,https://lobehub.com/mcp/yorifuji-mcp-ios-simulator-screenshot,这是一个使用模型上下文协议（MCP）从 iOS 模拟器捕获屏幕截图的服务器。需要安装 Node.js 16.0.0 或更高版本，以及 macOS 和 Xcode 命令行工具。,优质,2,"[""在iOS应用开发过程中自动捕获模拟器屏幕截图"", ""集成到自动化测试流程中，用于记录UI状态"", ""通过MCP协议远程控制iOS模拟器截图操作""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""Roo Code""]","{""api_key_required"": false, ""dependencies"": [""Node.js 16.0.0 或更高版本"", ""macOS（需要iOS模拟器）"", ""Xcode Command Line Tools""]}","[""在iOS应用开发过程中自动捕获模拟器屏幕截图"", ""集成到自动化测试流程中，用于记录UI状态"", ""通过MCP协议远程控制iOS模拟器截图操作""]",57.7,C级-专业小众工具
Image Tools MCP,kshern,https://github.com/kshern/image-tools-mcp,5,3,66.24,80.0,34,57.18,2,https://lobehub.com/mcp/kshern-image-tools-mcp,一个用于获取图片尺寸和压缩图片的模型上下文协议（MCP）服务，支持通过URL和本地文件源。需要环境变量 TINIFY_API_KEY 进行图片压缩，以及 FIGMA_API_TOKEN 用于Figma API集成。,优质,10,"[""Retrieve image dimensions from URLs"", ""Get image dimensions from local files"", ""Compress images from URLs using TinyPNG API"", ""Compress local images using TinyPNG API"", ""Convert images to different formats (webp, jpeg/jpg, png)"", ""Fetch image links from Figma API and compress them""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","{""TINIFY_API_KEY"": ""Required for image compression functionality. Get your API key from https://tinypng.com/"", ""FIGMA_API_TOKEN"": ""Required for fetching image links from Figma API. Get your API token from https://www.figma.com/developers""}","[""Retrieve image dimensions from URLs"", ""Get image dimensions from local files"", ""Compress images from URLs using TinyPNG API"", ""Compress local images using TinyPNG API"", ""Convert images to different formats (webp, jpeg/jpg, png)"", ""Fetch image links from Figma API and compress them""]",57.7,C级-特定场景推荐
MCP 虚拟旅行机器人环境,mfukushim,https://github.com/mfukushim/map-traveler-mcp,14,6,71.04,80.0,58,57.18,8,https://lobehub.com/mcp/mfukushim-map-traveler-mcp,一个 MCP 服务器，用于创建虚拟环境，让头像在 Google 地图上进行虚拟旅行。需要多个 Google 地图服务（Street View Static API、Places API、Time Zone API、Directions API）的 API 密钥，以及可选的图像生成 AI 密钥（pixAi 或 Stability.ai）。环境变量用于配置 API 密钥和其他设置。,优质,39,"[""Virtual traveling simulation using Google Maps"", ""Interactive storytelling with avatars"", ""Social media interaction via Bluesky SNS"", ""Multiplayer challenge games using landscape images"", ""AI-driven travel narratives with dynamic personality settings""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","""Requires multiple API keys including Google Maps API key, Bluesky SNS credentials, and optionally Turso SQLite API credentials. Some APIs may incur charges.""","[""Virtual traveling simulation using Google Maps"", ""Interactive storytelling with avatars"", ""Social media interaction via Bluesky SNS"", ""Multiplayer challenge games using landscape images"", ""AI-driven travel narratives with dynamic personality settings""]",57.6,C级-特定场景推荐
LAPRAS MCP 服务器,lapras-inc,https://github.com/lapras-inc/lapras-mcp-server,78,1,70.74,92.5,19,57.18,10,https://lobehub.com/mcp/lapras-inc-lapras-mcp-server,用于 lapras.com 的 MCP 服务器。需要设置 LAPRAS_API_KEY 环境变量以访问职业相关工具。API 密钥可从 https://lapras.com/config/api-key 获取。,优质,20,"[""条件付き求人の検索（例：フルリモート、特定技術スタック、年収条件など）"", ""ユーザーの職歴に基づいた求人の提案"", ""職歴情報の取得・追加・更新・削除"", ""職務要約の作成・更新"", ""キャリア志向の取得と更新"", ""職歴のブラッシュアップ支援""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","{""required_keys"": [""LAPRAS_API_KEY (職歴関連ツール使用時に必要)""], ""dependency_services"": [""LAPRAS API""]}","[""条件付き求人の検索（例：フルリモート、特定技術スタック、年収条件など）"", ""ユーザーの職歴に基づいた求人の提案"", ""職歴情報の取得・追加・更新・削除"", ""職務要約の作成・更新"", ""キャリア志向の取得と更新"", ""職歴のブラッシュアップ支援""]",57.4,C级-特定场景推荐
HiGHS MCP 服务器,Wilfred Springer,https://github.com/wspringer/highs-mcp,11,0,80.54,92.5,68,57.18,1,https://lobehub.com/mcp/wspringer-highs-mcp,一个提供线性规划（LP）和混合整数规划（MIP）优化功能的Model Context Protocol（MCP）服务器，使用HiGHS求解器。需要Node.js版本 >= 16.0.0。,优质,2,"[""解决线性规划(LP)问题"", ""处理混合整数规划(MIP)问题"", ""执行二次规划(QP)用于凸目标函数"", ""处理二元变量和整数变量约束"", ""多目标优化问题求解""]","[""Claude Desktop"", ""Cline"", ""SSE"", ""Studio""]","""无需API密钥。依赖Node.js环境（版本16或更高）。""","[""解决线性规划(LP)问题"", ""处理混合整数规划(MIP)问题"", ""执行二次规划(QP)用于凸目标函数"", ""处理二元变量和整数变量约束"", ""多目标优化问题求解""]",57.3,C级-专业小众工具
ModelContextProtocol,NishantKJani,https://github.com/NishantKJani/ModelContextProtocol,0,0,70.94,87.5,35,57.18,22,https://lobehub.com/mcp/nishantkjani-modelcontextprotocol,MCP Server 通过 Claude 连接到 Kite-Zerodha 股票经纪账户。需要通过 npx mcp-remote 进行外部连接到 https://mcp.kite.trade/sse。,良好,2,"[""通过Claude桌面应用直接查询Kite-Zerodha账户的投资组合"", ""执行基于自然语言的投资组合分析与交易指令"", ""将实时市场数据和持仓信息整合进AI对话中""]","[""Claude Desktop"", ""SSE""]","{""required_apis"": [""Kite-Zerodha API""], ""authentication_method"": ""OAuth 或 API 密钥认证（需在Kite平台申请API密钥并配置）""}","[""通过Claude桌面应用直接查询Kite-Zerodha账户的投资组合"", ""执行基于自然语言的投资组合分析与交易指令"", ""将实时市场数据和持仓信息整合进AI对话中""]",57.3,C级-特定场景推荐
@stackzero-labs/mcp,stackzero-labs,https://github.com/stackzero-labs/mcp,5,1,75.34,92.5,42,57.18,12,https://lobehub.com/mcp/stackzero-labs-mcp,MCP（模型上下文协议）服务器，用于 stackzero-labs/ui 组件。,优质,2,"[""Integrating MCP-based model context features into UI components"", ""Enhancing development workflows in tools like Cursor and Claude Desktop"", ""Providing contextual model support for local or remote applications""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","{""required"": false, ""details"": []}","[""Integrating MCP-based model context features into UI components"", ""Enhancing development workflows in tools like Cursor and Claude Desktop"", ""Providing contextual model support for local or remote applications""]",57.2,C级-专业小众工具
Pega DX MCP Server,MarcoLooy,https://github.com/marco-looy/pega-dx-mcp,5,0,64.94,62.5,80,57.18,63,https://lobehub.com/mcp/marcolooy-pega-dx-mcp,MCP Server 使对话式人工智能（AI）与 Pega Infinity 应用程序集成。连接生成式AI（GenAI）代理、集成开发环境（IDEs）和AI助手到 Pega DX API，实现自然语言的案件管理、工作流自动化和业务流程操作。需要通过环境变量进行外部配置，以连接 Pega Infinity 并提供 OAuth 2.1 凭据。,优质,6,"[""自然语言创建和管理Pega Infinity案例"", ""与GenAI代理集成实现自动化业务流程"", ""通过IDE插件进行Pega应用的上下文感知交互"", ""探索企业级自然语言接口模式"", ""实验性API集成（案例、任务、附件、数据视图等）""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","{""required_keys"": [""PEGA_BASE_URL"", ""PEGA_CLIENT_ID"", ""PEGA_CLIENT_SECRET""], ""authentication_method"": ""OAuth 2.1 with PKCE and role-based access control""}","[""自然语言创建和管理Pega Infinity案例"", ""与GenAI代理集成实现自动化业务流程"", ""通过IDE插件进行Pega应用的上下文感知交互"", ""探索企业级自然语言接口模式"", ""实验性API集成（案例、任务、附件、数据视图等）""]",57.0,C级-特定场景推荐
Cargo Package README MCP 服务器,elchika-inc,https://github.com/elchika-inc/cargo-package-readme-mcp-server,0,0,63.44,75.0,35,57.18,3,https://lobehub.com/mcp/elchika-inc-cargo-package-readme-mcp-server,用于从 crates.io 获取 Rust crate 的 README 和使用信息的 MCP 服务器。提供全面的文档提取，包括 README 内容、包元数据、依赖关系以及 crate 搜索功能。,良好,8,"[""Accessing Rust crate documentation directly within IDEs or MCP clients"", ""Analyzing package metadata and dependency trees"", ""Searching for Rust libraries by functionality or keywords"", ""Automating documentation retrieval in development workflows""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","""No API key required. Uses crates.io and GitHub public APIs with standard rate limits.""","[""Accessing Rust crate documentation directly within IDEs or MCP clients"", ""Analyzing package metadata and dependency trees"", ""Searching for Rust libraries by functionality or keywords"", ""Automating documentation retrieval in development workflows""]",56.9,C级-特定场景推荐
NuGet 包 README MCP 服务器,elchika-inc,https://github.com/elchika-inc/nuget-package-readme-mcp-server,0,0,63.44,75.0,35,57.18,3,https://lobehub.com/mcp/elchika-inc-nuget-package-readme-mcp-server,一个 MCP 服务器，能够让 AI 助手获取关于 NuGet 包的详细信息，包括 README 内容、包元数据以及搜索功能。,良好,8,"[""AI assistants retrieving NuGet package documentation directly in IDEs"", ""Automated dependency analysis and documentation generation"", ""Package discovery through intelligent search within development environments"", ""Offline documentation access by pre-fetching package metadata"", ""Integration with code intelligence tools for better context-aware suggestions""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","{""required_apis"": [{""name"": ""GitHub API"", ""purpose"": ""Enhanced README fetching when packages link to GitHub repositories"", ""optional"": true}, {""name"": ""NuGet Gallery API"", ""purpose"": ""Primary source for package metadata and search functionality"", ""optional"": false}], ""rate_limiting"": {""github"": ""Uses standard GitHub API rate limits; GITHUB_TOKEN recommended for higher limits"", ""nuget"": ""Standard NuGet Gallery API rate limits apply""}}","[""AI assistants retrieving NuGet package documentation directly in IDEs"", ""Automated dependency analysis and documentation generation"", ""Package discovery through intelligent search within development environments"", ""Offline documentation access by pre-fetching package metadata"", ""Integration with code intelligence tools for better context-aware suggestions""]",56.9,C级-特定场景推荐
Helm 包 README MCP 服务器,elchika-inc,https://github.com/elchika-inc/helm-package-readme-mcp-server,0,0,63.44,75.0,35,57.18,3,https://lobehub.com/mcp/elchika-inc-helm-package-readme-mcp-server,该 MCP 服务器使 AI 助手能够从 Artifact Hub 获取关于 Helm 图表的详细信息，包括 README 内容、图表元数据和搜索功能。,良好,8,"[""Fetching formatted README content with usage examples from Helm charts hosted on Artifact Hub"", ""Getting comprehensive chart metadata including dependencies, versions, maintainers, and repository information"", ""Searching Artifact Hub with advanced filtering by repository, kind, and relevance"", ""Optimizing API usage and improving response times through smart caching"", ""Enhancing README fetching via GitHub integration""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","{""github_token"": {""required"": false, ""description"": ""Recommended for higher API rate limits when fetching README content from GitHub.""}}","[""Fetching formatted README content with usage examples from Helm charts hosted on Artifact Hub"", ""Getting comprehensive chart metadata including dependencies, versions, maintainers, and repository information"", ""Searching Artifact Hub with advanced filtering by repository, kind, and relevance"", ""Optimizing API usage and improving response times through smart caching"", ""Enhancing README fetching via GitHub integration""]",56.9,C级-特定场景推荐
pip 包 README MCP 服务器,elchika-inc,https://github.com/elchika-inc/pip-package-readme-mcp-server,0,0,63.44,75.0,35,57.18,3,https://lobehub.com/mcp/elchika-inc-pip-package-readme-mcp-server,一个 MCP 服务器，能够让 AI 助手从 PyPI 获取关于 Python 包的详细信息，包括 README 内容、包元数据和搜索功能。,良好,8,"[""Fetching formatted README content with usage examples from Python/pip packages hosted on PyPI"", ""Getting comprehensive package metadata including dependencies, versions, statistics, and maintainer information"", ""Searching PyPI with advanced filtering by package type, popularity, and relevance""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","{""required_apis"": [""GitHub API"", ""PyPI API""], ""api_keys"": {""GITHUB_TOKEN"": ""Optional but recommended for higher API rate limits when fetching README content from GitHub""}}","[""Fetching formatted README content with usage examples from Python/pip packages hosted on PyPI"", ""Getting comprehensive package metadata including dependencies, versions, statistics, and maintainer information"", ""Searching PyPI with advanced filtering by package type, popularity, and relevance""]",56.9,C级-特定场景推荐
Square 模型上下文协议服务器,square,https://github.com/square/square-mcp-server,73,10,69.74,92.5,14,57.18,3,https://lobehub.com/mcp/square-square-mcp-server,用于 Square API 的 MCP 服务器。需要配置环境变量，例如 ACCESS_TOKEN（Square API 访问令牌）、SANDBOX（沙箱环境）、PRODUCTION（生产环境）、DISALLOW_WRITES（禁止写操作）和 SQUARE_VERSION（API 版本）。,优质,6,"[""AI助手通过MCP协议访问Square API进行支付处理"", ""使用本地或远程MCP服务器管理Square账户资源（如订单、客户、库存）"", ""在开发环境中使用沙箱测试API操作"", ""通过Goose、Claude Desktop等平台集成Square功能"", ""自动化业务流程（如订单创建、退款处理、客户分组）""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","{""required"": true, ""authentication_method"": ""OAuth 或 Square Access Token"", ""token_source"": ""https://developer.squareup.com/docs/build-basics/access-tokens"", ""scopes"": []}","[""AI助手通过MCP协议访问Square API进行支付处理"", ""使用本地或远程MCP服务器管理Square账户资源（如订单、客户、库存）"", ""在开发环境中使用沙箱测试API操作"", ""通过Goose、Claude Desktop等平台集成Square功能"", ""自动化业务流程（如订单创建、退款处理、客户分组）""]",56.8,C级-特定场景推荐
Pinecone Developer MCP Server,pinecone-io,https://github.com/pinecone-io/pinecone-mcp,26,8,69.74,92.5,14,57.18,1,https://lobehub.com/mcp/pinecone-io-pinecone-mcp,Pinecone Developer MCP Server 允许 AI 工具连接到 Pinecone 项目和文档，实现搜索、索引配置、代码生成以及数据的插入和搜索。需要 Node.js 运行环境。API 密钥配置通过环境变量 PINECONE_API_KEY 完成。,优质,18,"[""搜索 Pinecone 官方文档以获取准确答案"", ""根据应用需求配置索引"", ""基于索引配置和文档生成代码"", ""在索引中插入和搜索数据以测试查询效果""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""Studio""]","{""required"": true, ""api_key_usage"": ""PINECONE_API_KEY 环境变量中设置 API 密钥"", ""dependencies"": [""Node.js"", ""npx""]}","[""搜索 Pinecone 官方文档以获取准确答案"", ""根据应用需求配置索引"", ""基于索引配置和文档生成代码"", ""在索引中插入和搜索数据以测试查询效果""]",56.8,C级-特定场景推荐
Currents MCP 服务器,currents-dev,https://github.com/currents-dev/currents-mcp,5,2,63.24,75.0,34,57.18,3,https://lobehub.com/mcp/currents-dev-currents-mcp,一个 MCP 服务器，通过连接 Currents 向 AI 代理提供测试结果上下文信息。需要通过环境变量 CURRENTS_API_KEY 配置 Currents API 密钥。,良好,6,"[""为AI代理提供测试结果上下文"", ""让AI修复或优化在CI中失败的测试""]","[""Claude Desktop"", ""Cursor"", ""Cline/VS Code"", ""SSE"", ""Studio""]","""需要从Currents获取API密钥，请参考[文档](https://docs.currents.dev/resources/api/api-keys)了解如何获取。""","[""为AI代理提供测试结果上下文"", ""让AI修复或优化在CI中失败的测试""]",56.8,C级-特定场景推荐
markdown2pdf-mcp,serendipity-ai,https://github.com/Serendipity-AI/markdown2pdf-mcp,6,1,74.54,92.5,38,57.18,1,https://lobehub.com/mcp/serendipity-ai-markdown2pdf-mcp,基于 LaTeX 的 Markdown 转 PDF MCP 服务器，提供高质量、可打印的输出。无需外部数据文件。,优质,2,"[""代理生成报告并自动转换为PDF格式"", ""自动化创建打印就绪的文档"", ""在工作流最后阶段向用户提供专业格式输出"", ""替代HTML转PDF方案以获得更高质量排版""]","[""Claude Desktop"", ""Cline"", ""SSE"", ""Studio""]","{""required"": false, ""dependencies"": [""Node.js"", ""LaTeX distribution (e.g., TeX Live)""]}","[""代理生成报告并自动转换为PDF格式"", ""自动化创建打印就绪的文档"", ""在工作流最后阶段向用户提供专业格式输出"", ""替代HTML转PDF方案以获得更高质量排版""]",56.7,C级-特定场景推荐
mmnt-mcp-server,zbkm,https://github.com/zbkm/mmnt-mcp-server,0,1,67.84,80.0,42,57.18,2,https://lobehub.com/mcp/zbkm-mmnt-mcp-server,用于Mamont搜索引擎的MCP服务器。提供搜索查询和缓存检索的工具。,优质,4,"[""Performing search queries via the Mamont search engine"", ""Retrieving cached web pages using unique cache identifiers"", ""Integrating search capabilities into MCP-supported applications""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","{""api_key_required"": false, ""dependencies"": [""Node.js"", ""NPM"", ""MCP-compatible client""]}","[""Performing search queries via the Mamont search engine"", ""Retrieving cached web pages using unique cache identifiers"", ""Integrating search capabilities into MCP-supported applications""]",56.7,C级-特定场景推荐
apifox-mcp MCP 服务器,Juzisuan965,https://github.com/Juzisuan965/apifox-mcp,2,0,73.94,92.5,35,57.18,1,https://lobehub.com/mcp/juzi965-apifox-mcp,这是一个用TypeScript实现的MCP（模型上下文协议）服务器，用于通过Stdio访问Apifox API数据。需要设置环境变量APIFOX_AUTH以进行Apifox的身份验证。,优质,2,"[""AI 助手直接获取 Apifox 平台上的 API 接口定义信息"", ""生成入参的 TypeScript 类型定义"", ""生成出参的 TypeScript 类型定义"", ""生成接口调用方法的定义""]","[""Cursor""]","{""required_keys"": [""APIFOX_AUTH""], ""dependencies"": [""Apifox API""]}","[""AI 助手直接获取 Apifox 平台上的 API 接口定义信息"", ""生成入参的 TypeScript 类型定义"", ""生成出参的 TypeScript 类型定义"", ""生成接口调用方法的定义""]",56.4,C级-特定场景推荐
NotifyMeMaybe,keoy7am,https://github.com/keoy7am/NotifyMeMaybe,0,0,63.94,82.5,15,57.18,15,https://lobehub.com/mcp/keoy7am-notifymemaybe,一个功能强大的 MCP（模型上下文协议）服务器，支持多平台通知和交互式 AI 工作流。兼容 Telegram、webhook 以及同步用户交互。,优质,12,"[""任务完成通知（如代码分析、文件处理等）"", ""进度更新（长任务执行期间定期通知）"", ""错误提醒（系统异常或失败操作）"", ""用户确认请求（在执行关键操作前获取用户同意）"", ""文本输入收集（从用户获取额外信息）"", ""选项菜单展示（提供多个预设选项供用户选择）"", ""多语言支持场景（适用于国际团队）"", ""服务健康状态监控""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","{""required_apis"": [""Telegram Bot API""], ""required_keys"": [""TELEGRAM_BOT_TOKEN"", ""TELEGRAM_CHAT_ID""]}","[""任务完成通知（如代码分析、文件处理等）"", ""进度更新（长任务执行期间定期通知）"", ""错误提醒（系统异常或失败操作）"", ""用户确认请求（在执行关键操作前获取用户同意）"", ""文本输入收集（从用户获取额外信息）"", ""选项菜单展示（提供多个预设选项供用户选择）"", ""多语言支持场景（适用于国际团队）"", ""服务健康状态监控""]",56.4,C级-特定场景推荐
TypeScript 迁移器 MCP,LiangYingC,https://github.com/LiangYingC/typescript-migrator-mcp,2,1,69.64,75.0,66,57.18,1,https://lobehub.com/mcp/liangyingc-typescript-migrator-mcp,用于将 JavaScript 文件转换为 TypeScript 版本的 MCP 服务器。支持通过配置环境变量 CUSTOM_RULES_MD_FILE_PATH 指定的 markdown 文件路径实现自定义转换规则。,良好,2,"[""将现有JavaScript代码库逐步迁移到TypeScript"", ""为JavaScript文件添加类型定义和类型检查"", ""自动化重构代码以提高类型安全性"", ""在AI辅助下优化代码质量并减少类型相关错误""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","{""required"": false, ""details"": ""该工具不依赖外部API，因此不需要API密钥。""}","[""将现有JavaScript代码库逐步迁移到TypeScript"", ""为JavaScript文件添加类型定义和类型检查"", ""自动化重构代码以提高类型安全性"", ""在AI辅助下优化代码质量并减少类型相关错误""]",56.2,C级-特定场景推荐
pickapicon-mcp,Leee62,https://github.com/Leee62/pickapicon-mcp,2,1,63.74,82.5,14,57.18,3,https://lobehub.com/mcp/leee62-pickapicon-mcp,一个 MCP 服务器，帮助开发者通过 Iconify API 简单快速地获取 SVG 图标。无需外部数据文件。,优质,19,"[""Quickly get SVGs related to COMPONENT / PAGE"", ""Get SVG icons with modern design colors""]","[""Claude Desktop"", ""Studio""]","""No API key required.""","[""Quickly get SVGs related to COMPONENT / PAGE"", ""Get SVG icons with modern design colors""]",56.2,C级-特定场景推荐
mcp-server-fetch-typescript MCP 服务器,tatn,https://github.com/tatn/mcp-server-fetch-typescript,2,6,63.74,82.5,14,57.18,4,https://lobehub.com/mcp/tatn-mcp-server-fetch-typescript,一个提供网页内容抓取与转换功能的Model Context Protocol（MCP）服务器。该服务器实现了一个全面的网页内容检索系统，支持多种格式和渲染方法，适用于从简单数据提取到复杂网页爬取的各种任务。,优质,15,"[""Simple data extraction from URLs"", ""Sophisticated web scraping"", ""Content archiving and documentation"", ""Article and blog post extraction"", ""Fetching JSON/XML/CSV/TSV data sources""]","[""Claude Desktop"", ""Cline"", ""Studio""]","""No API key required""","[""Simple data extraction from URLs"", ""Sophisticated web scraping"", ""Content archiving and documentation"", ""Article and blog post extraction"", ""Fetching JSON/XML/CSV/TSV data sources""]",56.2,C级-特定场景推荐
资产价格 MCP 服务器,mk965,https://github.com/mk965/asset-price-mcp,2,2,72.94,92.5,30,57.18,1,https://lobehub.com/mcp/mk965-asset-price-mcp,一个兼容 MCP（模型上下文协议）的服务，提供包括贵金属、加密货币等在内的实时资产价格。无需外部数据文件。,优质,2,"[""Retrieving real-time cryptocurrency prices"", ""Fetching current precious metals prices (e.g., gold, silver)"", ""Providing asset price data to large language models via MCP""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","{""required"": false, ""details"": {}}","[""Retrieving real-time cryptocurrency prices"", ""Fetching current precious metals prices (e.g., gold, silver)"", ""Providing asset price data to large language models via MCP""]",55.8,C级-特定场景推荐
Mobile Xray MCP,CultivX,https://github.com/CultivX/mobile-xray-mcp,2,0,72.94,92.5,30,57.18,3,https://lobehub.com/mcp/cultivx-mobile-xray-mcp,使用 AI 辅助从您的 IDE 直接截取手机应用截图并进行分析。需要 Node.js 18+ 版本以及手机模拟器/模拟器（iOS 模拟器或 Android 模拟器）。,优质,2,"[""检查移动应用界面的可访问性功能"", ""验证颜色对比度是否符合无障碍标准"", ""获取关于UI布局和用户流程的改进建议"", ""在不修改代码的情况下提出设计优化建议"", ""验证代码更改后的界面效果""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","{""required_apis"": [""API密钥（由所使用的AI服务提供，如Claude、ChatGPT等）""], ""dependencies"": [""Node.js 18+"", ""iOS Simulator或Android Emulator"", ""Xcode Command Line Tools（iOS）"", ""Android SDK tools（Android）""]}","[""检查移动应用界面的可访问性功能"", ""验证颜色对比度是否符合无障碍标准"", ""获取关于UI布局和用户流程的改进建议"", ""在不修改代码的情况下提出设计优化建议"", ""验证代码更改后的界面效果""]",55.8,C级-特定场景推荐
_itcoin & Lightning Network MCP 服务器,AbdelStark,https://github.com/AbdelStark/bitcoin-mcp,50,11,67.84,80.0,42,57.18,7,https://lobehub.com/mcp/abdelstark-bitcoin-mcp,₿itcoin 和 Lightning Network MCP 服务器是一款允许 AI 模型与比特币及闪电网络交互的服务器，支持生成密钥、验证地址、解码交易、查询区块链等功能。,优质,14,"[""生成比特币密钥对用于开发或测试"", ""验证用户输入的比特币地址是否合法"", ""解析比特币交易以进行审计或调试"", ""查询最新区块或特定交易的详细信息"", ""在AI对话中集成闪电网络发票解析与支付功能""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","""该工具不依赖API密钥。但需要LNBits钱包用于闪电网络支付功能。""","[""生成比特币密钥对用于开发或测试"", ""验证用户输入的比特币地址是否合法"", ""解析比特币交易以进行审计或调试"", ""查询最新区块或特定交易的详细信息"", ""在AI对话中集成闪电网络发票解析与支付功能""]",55.7,C级-特定场景推荐
MCP DuckDB 知识图谱内存服务器,IzumiSy,https://github.com/IzumiSy/mcp-duckdb-memory-server,42,8,77.74,92.5,54,57.18,8,https://lobehub.com/mcp/izumisy-mcp-duckdb-memory-server,使用 DuckDB 后端的 MCP 内存服务器。可选地使用由 MEMORY_FILE_PATH 环境变量指定的 DuckDB 数据库文件。,优质,2,"[""用户身份识别与记忆存储"", ""对话中自动提取用户基本信息（年龄、性别、职业等）"", ""记录用户行为习惯与偏好"", ""维护用户目标与人际关系网络"", ""基于知识图谱的记忆检索与更新"", ""支持复杂查询与模糊搜索的智能交互场景""]","[""Claude Desktop"", ""Cline"", ""Studio""]","{""required"": false, ""dependencies"": [], ""notes"": ""无需API密钥，依赖本地或指定路径的DuckDB文件进行数据存储。""}","[""用户身份识别与记忆存储"", ""对话中自动提取用户基本信息（年龄、性别、职业等）"", ""记录用户行为习惯与偏好"", ""维护用户目标与人际关系网络"", ""基于知识图谱的记忆检索与更新"", ""支持复杂查询与模糊搜索的智能交互场景""]",55.6,C级-专业小众工具
认知增强 MCP 服务器,waldzellai,https://github.com/peragus-dev/model-enhancement-servers,16,6,67.54,67.5,78,57.18,1,https://lobehub.com/mcp/waldzellai-model-enhancement-servers,一套提供认知增强工具的模型上下文协议（Model Context Protocol）服务器，适用于大型语言模型。各个服务器可以通过 npm 包（如 @waldzellai/structured-argumentation）安装，也提供对应的 Docker 镜像。,优质,14,"[""增强大型语言模型的辩证推理能力"", ""提升模型的图示思维和空间表示能力"", ""支持假设检验和科学证据评估"", ""促进结构化隐喻和类比推理"", ""实现知识评估与信心跟踪"", ""结构化决策支持"", ""多视角协同问题解决""]","[""Claude Desktop"", ""Docker"", ""Cline"", ""Studio""]","""无API密钥要求，依赖Node.js环境和npm/yarn包管理器。""","[""增强大型语言模型的辩证推理能力"", ""提升模型的图示思维和空间表示能力"", ""支持假设检验和科学证据评估"", ""促进结构化隐喻和类比推理"", ""实现知识评估与信心跟踪"", ""结构化决策支持"", ""多视角协同问题解决""]",55.5,C级-特定场景推荐
